id,query,results
QID1,kasey,"['Kasey', 'Kasey Rogers', 'Paul Kasey', 'Kasey Kahne', 'Kasey Keller', 'Kasey Chambers', 'Death of Caylee Anthony', 'Casey Kasem', 'Kasey Palmer', 'Kacey Musgraves']"
QID2,countryside,"['Rural area', 'Countryside, Virginia', 'Countryside (disambiguation)', 'Countryside Alliance', 'Countryside Commission', ""Banished from the Hero's Party"", 'Countryside Mall (Clearwater, Florida)', 'Countryside Agency', 'Down to the Countryside Movement', 'Countryside Stewardship Scheme']"
QID3,kaláshnikova,"['Kalashnikov rifle', 'AK-47', 'RPK', 'Oksana Kalashnikova', 'Kalashnikov', 'Anna Kalashnikova', ""Kalashnikova's House"", 'Victor Kalashnikov', '2022 Trophee Lagardère – Doubles', 'PK machine gun']"
QID4,men,"['Men (disambiguation)', 'Man', 'X-Men', 'X-Men: Days of Future Past', 'Mad Men', 'Dark Phoenix (film)', 'X-Men (film series)', 'X-Men: Apocalypse', 'No Country for Old Men', 'Two and a Half Men']"
QID5,nick,"['Nick', 'Nick Cannon', 'Nick Jonas', 'Nickelodeon', 'Nick Jr.', 'Nick Pope', 'Old Nick', 'Nick Mason', 'Nick Stellino', 'Nick Cordero']"
QID6,alex,"['Alex', 'Die Länderbahn', 'AleX', 'Alex Rodriguez', 'Alex To', 'Alex Garland', 'Alex Pritchard', 'Alex Pereira', 'Alex Jones', 'Alex (parrot)']"
QID7,spiral,"['Spiral', 'Spiral galaxy', 'Spiral (2021 film)', 'Golden spiral', 'Archimedean spiral', 'Spiral model', 'Logarithmic spiral', 'Death spiral', 'Spiral Staircase', 'Graveyard spiral']"
QID8,rice,"['Rice', 'Rice (disambiguation)', 'Condoleezza Rice', 'Angourie Rice', 'Rice University', 'Glutinous rice', 'Black rice', 'Brown rice', 'Sushi', 'Jerry Rice']"
QID9,smtp,"['Simple Mail Transfer Protocol', 'SMTPS', 'SMTP Authentication', 'List of SMTP server return codes', 'Email', 'SMTP proxy', 'Tarpit (networking)', 'SMTP (company)', 'MIME', 'POP before SMTP']"
QID10,june,"['June', 'June 1', '1989 Tiananmen Square protests and massacre', 'June 4', 'June bug', 'June Carter Cash', 'Of June', 'June 2', 'June 13', 'June Preston']"
QID11,truss,"['Truss', 'Liz Truss', 'Truss bridge', 'Truss (disambiguation)', 'Integrated Truss Structure', 'Warren Truss', 'Timber roof truss', 'Truss (medicine)', 'Truss rod', 'Truss (surname)']"
QID12,environnement,"['Environment', 'Veolia', 'Suez (company, 2015)', 'Grenelle Environnement', 'Arkéa–Samsic', 'Vivendi', 'Derichebourg', 'Environment and Climate Change Canada', 'Géomorphologie', 'Institut national de la recherche scientifique']"
QID13,2002-02-22,"['Deep Purple discography', '2001–02 La Liga', '2001–02 Bundesliga', '2002 Euroleague Final Four', '2001–02 French Division 1', 'FA Youth Cup Finals of the 2000s', 'SummerSlam (2002)', '2001–02 Chelsea F.C. season', '2001–02 NBA season', 'Dragonfly (2002 film)']"
QID14,==,['Relational operator']
QID15,external,"['External', 'Externality', 'External combustion engine', 'External fixation', 'External risk', 'Externalism', 'External auditor', 'External sorting', 'External capsule', 'Reality']"
QID16,|-,[]
QID17,wildi,"['Pet, Inc.', 'Wildi Frau', 'Plesiopterys', 'Daohugoupterus', 'Lucianosaurus', 'Bergamodactylus', 'Clivina wildi', 'Spilosoma wildi', 'Camera', 'Tatrasuchus']"
QID18,protestant,"['Protestantism', 'Reformation', 'Mainline Protestant', 'White Anglo-Saxon Protestants', 'Evangelicalism', 'Protestantism in the United States', 'Protestant Bible', 'A Protestant parliament for a Protestant people', 'Protestant work ethic', 'List of the largest Protestant denominations']"
QID19,district,"['District', 'List of districts in India', 'Washington, D.C.', ""Oregon's congressional districts"", 'District attorney', 'Lisbon District', 'Abuja', 'Taluks of Pune district', 'Red-light district', ""Missouri's 4th congressional district""]"
QID20,pärnu,"['Pärnu', 'Pärnu County', '2022 KML Play-offs', 'Pärnu Rannastaadion', 'Pärnu Postimees', 'Pärnu JK Vaprus', 'Pärnu Airport', 'Siege of Pärnu', 'Port of Pärnu', 'Pärnu Jalgpalliklubi']"
QID21,bank,"['Bank', 'BANK (art collective)', 'West Bank', 'World Bank', 'State Bank of India', 'Bank of the United States', 'Central bank', 'Bank of America', 'HDFC Bank', 'List of governors of the State Bank of Pakistan']"
QID22,+,"['Plus and minus signs', 'Unicode subscripts and superscripts']"
QID23,regular,"['Regular', 'Regular expression', 'Regular army', 'Regular polygon', 'Regular language', 'Regular Show', 'Regulares', 'Regular graph', 'Regular grammar', 'Regular polyhedron']"
QID24,laura,"['Laura', 'Laura Pausini', 'Laura Bush', 'Laura Dern', 'Laura Kuenssberg', 'Laura Tingle', 'Laura Bailey', 'Laura (clothing retailer)', 'Laura Harris', 'Laura Fraser']"
QID25,category,"['Category', 'Category of small categories', 'Category theory', 'IUCN protected area categories', 'Software categories', 'Pregnancy category', 'Category (mathematics)', 'Saffir–Simpson scale', 'UEFA stadium categories', 'Category of modules']"
QID26,|-,[]
QID27,rotterdam||£3.2,"['Rotterdam', 'Rotterdam The Hague Airport', 'Sparta Rotterdam', 'Rotterdam Metro', 'German bombing of Rotterdam', 'MS Rotterdam (2021)', 'Port of Rotterdam', 'Excelsior Rotterdam', 'Rotterdam Ahoy', 'SS Rotterdam']"
QID28,inchon,"['Incheon', 'Battle of Inchon', 'Inchon (film)', 'USS Inchon', 'Incheon International Airport', 'Incheon (disambiguation)', 'Daegu KOGAS Pegasus', 'Incheon-class frigate', '1st Marine Regiment', 'Eugene F. Clark']"
QID29,watchtower,"['Watchtower', 'The Watchtower', ""Jehovah's Witnesses"", 'All Along the Watchtower', 'Watchtower (band)', 'Watchtower (disambiguation)', 'UFO Watchtower', 'Guadalcanal campaign', 'Watchtower of Torrelodones', 'Watchtower (magic)']"
QID30,humor,"['Humour', 'Black comedy', 'Humorism', 'Surreal humour', 'Theories of humor', 'Flatulence humor', 'Jewish humor', 'College Humor', 'Humoral factor', 'Office humor']"
QID31,},['Bracket']
QID32,state,"['State', 'Islamic State', 'California', 'U.S. state', 'New York (state)', 'Pennsylvania', 'Florida', 'Sovereign state', 'Hawaii', 'Texas']"
QID33,category,"['Category', 'Category of small categories', 'Category theory', 'IUCN protected area categories', 'Software categories', 'Pregnancy category', 'Category (mathematics)', 'Saffir–Simpson scale', 'UEFA stadium categories', 'Category of modules']"
QID34,reactive,"['Reactive', 'Reactive armour', 'Reactivity', 'C-reactive protein', 'Reactive arthritis', 'Reactive oxygen species', 'Reactive programming', 'AC power', 'Reactive lymphocyte', 'Water-reactive substances']"
QID35,kalb,"['KALB', 'Banu Kalb', 'Johann de Kalb', 'Bernard Kalb', 'DeKalb County, Georgia', 'DeKalb', 'Top Chef: Houston', 'DeKalb, Illinois', 'Marvin Kalb', 'De Kalb, Texas']"
QID36,bgcolor=,"['HTML', 'Web colors', 'Gerardo Taracena', 'HTML attribute', 'Django Unchained (soundtrack)', 'Silver (color)', 'Programming Language for Business', 'Dynamic HTML', 'W3C Markup Validation Service', 'Vector Markup Language']"
QID37,|,"['Vertical bar', 'Dental click']"
QID38,december,"['December', '2016 in aviation', 'December 17', 'December 1924 German federal election', 'December 10', 'December 18', 'December 1', 'December 8', 'December 25', 'December 26']"
QID39,t4r3,"['3T', 'R/T', '3T3 cells', 'T. R. Knight', 'ASCII', 'Tatra T3', 'Leet', 'Renault 4', 'Sikorsky R-4', 'Vektor R4']"
QID40,|tamil,"['Tamil language', 'Tamil Nadu', 'Tamils', 'Tamil', 'Tamil cinema', 'Sri Lankan Tamils', 'Liberation Tigers of Tamil Eelam', 'Tamil literature', 'Tamil–Kannada languages', 'Tamil Thai Valthu']"
QID41,stations==,"['Radio broadcasting', 'Train station', 'List of radio stations in the Philippines', 'List of radio stations in New York (state)', 'Power station', 'UK railway stations', 'List of radio stations in Ontario', 'List of Indian-language radio stations', 'List of radio stations in California', 'List of London Underground stations']"
QID42,york,"['York', 'New York City', 'New York (state)', 'New York', 'List of United States representatives from New York', 'Buffalo, New York', 'Administrative divisions of New York (state)', 'The New York Times', 'Conklin, New York', 'Neighborhoods in New York City']"
QID43,monarco,"['Portela (samba school)', 'Monte Monarco', 'Tudo Azul', 'Valganna (valley)', 'Mauro Diniz', 'Tim Lopes (journalist)', 'É (album)', 'Rogerio Caetano', '2021 in Latin music', 'Teresa Cristina (singer)']"
QID44,|,"['Vertical bar', 'Dental click']"
QID45,jewels,"['Run the Jewels', 'Jewel', 'Gemstone', 'Family Jewels', 'The Jewels', 'Electric Jewels', 'Crown jewels', 'Jewels (disambiguation)', 'The Indiscreet Jewels', 'Jewels of Elizabeth II']"
QID46,forest,"['Forest', 'FOREST', 'Nottingham Forest F.C.', 'The Forest', 'Deforestation', 'A Forest', 'Pine Forest', 'Riparian forest', 'Forest Whitaker', 'Into the Forest']"
QID47,mégalithiques,"['List of World Heritage Sites in France', 'History of Senegal', 'Locmariaquer megaliths', 'Louis Burkhalter', 'Dolmen de Bagneux', 'Chris Scarre', 'Megaliths in Ethiopia', 'Saint-Martin-de-Corléans Megalithic Area', 'Er Lannic', 'Léon Audé']"
QID48,|,"['Vertical bar', 'Dental click']"
QID49,boro,"['Boro', 'Boro Boro', 'BORO', 'Boro (surname)', 'Boro people', 'Boros', 'Boro language (India)', 'Boro culture', 'Isaac Adaka Boro', 'Borobudur']"
QID50,series,"['Series', 'Panchayat (TV series)', 'Television show', 'World Series', 'Honda CBR series', 'Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Comedy Series', 'ATP Tour Masters 1000', 'Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Drama Series', 'List of World Series champions', 'Halo (TV series)']"
QID51,football,"['Football', 'College football', 'Association football', 'Australian rules football', 'American football', 'Gaelic football', 'Arena Football League', 'Lists of association football players', 'Chattanooga Mocs football', 'National Football League']"
